clean_accuracy,adversarial_accuracy,adversarial_error_rate,robust_accuracy,CE_gaussian_noise,CE_shot_noise,CE_impulse_noise,CE_defocus_blur,CE_glass_blur,CE_motion_blur,CE_zoom_blur,CE_snow,CE_frost,CE_fog,CE_brightness,CE_contrast,CE_elastic_transform,CE_pixelate,CE_jpeg_compression,mCE,mean_corruption_accuracy,mAA,robustness_gap,relative_robustness,std_adversarial,model_arch,bottleneck_width,beta,is_baseline,failed
0.8337,0.139,0.861,0.139,1.700935770652967,1.5817565683994257,2.2371536554573175,1.667693240804931,1.704733458259226,2.1275102625928506,1.8545889509050766,1.8206014207575472,1.7188094139812893,2.0073895438470073,1.4097360236126761,2.821495957289591,1.5402505317889523,1.4467400766874452,1.3377423561577024,1.7984758154129339,0.710444,0.139,0.6947,0.16672664027827758,0.0,resnet18,64,0.0,True,False
0.1,0.103,0.897,0.103,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.103,-0.002999999999999989,1.0299999999999998,0.0,resnet18,64,1.0,False,True
0.8359,0.135,0.865,0.135,1.6682615400006604,1.5476765171765172,2.2353033262085256,1.682525489643839,1.7121108940755518,2.1540158557892153,1.8695913801047408,1.7639784562165985,1.6638164197851697,1.993635241318934,1.3808289273553407,2.8820443379665726,1.5518063684497985,1.431658060750166,1.350408287492321,1.7925107401555969,0.7108733333333334,0.135,0.7009,0.16150257207799978,0.0,resnet18,64,0.0001,False,False
0.8317,0.131,0.869,0.131,1.651368095867816,1.5555481693338835,2.1640679639196625,1.6554964485698558,1.7166530920031366,2.1191569442612694,1.866536673691958,1.7830305421725519,1.7474362006237005,2.052003866538983,1.4347322175209094,2.895424433862658,1.5706424897250357,1.4749950062121113,1.3727076757316978,1.803986654669015,0.7101693333333333,0.131,0.7007,0.15750871708548755,0.0,resnet18,64,1e-05,False,False
0.8372,0.117,0.883,0.117,1.6989338690194138,1.5964634046776904,2.2595916568451955,1.6109590049275166,1.6677377266769504,2.0878502123546143,1.8119288483996931,1.776757043696626,1.6788397760741511,1.9839009762742292,1.3871694795199567,2.7677595833942576,1.5287995257055695,1.414271704903284,1.3030094887378834,1.7715981534138023,0.7149733333333333,0.117,0.7202000000000001,0.13975155279503104,0.0,resnet18,64,1e-06,False,False
0.8316,0.121,0.879,0.121,1.732801455712225,1.6302963555106413,2.284837708754052,1.6937384792555878,1.7396867655482926,2.1098298487023657,1.8740455165109544,1.83248691011918,1.7412986832986832,2.0150307357296136,1.4382828298857306,2.819446473537979,1.5634131408233745,1.4606177114795538,1.3799445290920436,1.8210504762640185,0.707112,0.121,0.7106,0.1455026455026455,0.0,resnet18,64,1e-07,False,False
0.8215,0.135,0.865,0.135,1.6031680202211536,1.5406670247384535,2.076101918972542,1.7121657962334829,1.6639176382931034,2.1426785112653914,1.9057196836642216,1.8322220957253428,1.8159015722453227,2.034354757006008,1.517681284655752,2.716298099896513,1.6252858284257818,1.497652839363366,1.4024243839014807,1.8057492969738607,0.7116893333333333,0.135,0.6865,0.16433353621424224,0.0,resnet18,64,0.1,False,False
0.8339,0.125,0.875,0.125,1.7228417756434553,1.6107029103457677,2.3061789203178273,1.6487235763669499,1.6979195311519835,2.0825041875075003,1.8176854889724219,1.8354168442919145,1.6883709502772,1.9899198058197196,1.3940198484199307,2.8173623836921258,1.5375296957554045,1.4486689587215904,1.3417264248230842,1.7959714201404582,0.7111573333333333,0.125,0.7089,0.14989806931286725,0.0,resnet18,64,0.01,False,False
0.101,0.09,0.91,0.09,5.7180522560790195,6.040349856064143,5.886604350444961,6.1779732421166145,5.273965342666347,5.843310466234739,5.6485195529664365,6.490334113702973,6.087033523908525,6.3907775611791156,6.551799932774273,6.13560559284504,5.718860426506532,6.779730710322816,6.240258841101687,6.065545051260882,0.10075599999999998,0.09,0.01100000000000001,0.891089108910891,0.0,resnet18,64,10.0,False,True
0.1,0.09,0.91,0.09,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.09,0.010000000000000009,0.8999999999999999,0.0,resnet18,64,100.0,False,True
